,state,x,y
0,Iceland,-220.0,153.0
1,Ireland,-216.0,-46.0
2,United Kingdom,-160.0,-50.0
3,Portugal,-208.0,-209.0
4,Spain,-174.0,-189.0
5,France,-142.0,-128.0
6,Andorra,-138.0,-165.0
7,Malta,-34.0,-231.0
8,Monaco,-90.0,-158.0
9,Belgium,-108.0,-82.0
10,Netherlands,-102.0,-65.0
11,Luxembourg,-97.0,-93.0
12,Germany,-58.0,-75.0
13,Liechtenstein,-69.0,-120.0
14,Switzerland,-88.0,-130.0
15,Vatican City,-56.0,-169.0
16,San Marino,-57.0,-145.0
17,Italy,-30.0,-186.0
18,Poland,-10.0,-62.0
19,Belarus,62.0,-52.0
20,Russia,206.0,29.0
21,Finland,52.0,79.0
22,Sweden,-10.0,108.0
23,Norway,-69.0,66.0
24,Estonia,51.0,24.0
25,Latvia,61.0,-8.0
26,Lithuania,34.0,-23.0
27,Ukraine,100.0,-94.0
28,Czech Republic,-34.0,-89.0
29,Slovakia,8.0,-103.0
30,Hungary,7.0,-121.0
31,Slovenia,-30.0,-134.0
32,Denmark,-77.0,-17.0
33,Croatia,-7.0,-140.0
34,Bosnia And Herzogowina,-5.0,-154.0
35,Serbia,22.0,-146.0
36,Montenegro,2.0,-165.0
37,Albania,12.0,-190.0
38,North Macedonia,22.0,-179.0
39,Greece,29.0,-222.0
40,Turkey,121.0,-211.0
41,Bulgaria,63.0,-169.0
42,Romania,44.0,-135.0
43,Moldova,77.0,-120.0
44,Georgia,182.0,-169.0
45,Azerbatijan,233.0,-185.0
46,Armenia,206.0,-194.0
47,Austria,-27.0,-113.0
